#Top: design_with_logic_probe_wrapper   Floorplan: synth_1   Part: xc7a35tcpg236-1
#Generated by: brian   on: Sun Oct 15 10:32:51 2023
#Build: Vivado v2023.1   by: xbuild   on: Sun May  7 15:05:29 MDT 2023
#Package Version: FINAL 2014-02-19
#Package Pin Delay Version: VERS. 2.0 2014-02-19

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
34,W5,IOB_X1Y26,IO_L12P_T1_MRCC_34,53.927,54.469,,CLOCK_32640,CLOCK,IN,,,LVCMOS33,,,,,,,,,,,,,
14,U18,IOB_X0Y13,IO_L18N_T2_A11_D27_14,37.024,37.396,,RESET_32640,Reset,IN,,,LVCMOS33,,,,,,,,,,,,,
14,R18,IOB_X0Y21,IO_L14N_T2_SRCC_14,41.326,41.741,,,ADDRESS_IN[15],IN,,,LVCMOS33,,,,,,,,,,,,,
14,P18,IOB_X0Y22,IO_L14P_T2_SRCC_14,54.741,55.291,,,ADDRESS_IN[14],IN,,,LVCMOS33,,,,,,,,,,,,,
14,P17,IOB_X0Y23,IO_L13N_T2_MRCC_14,37.578,37.956,,,ADDRESS_IN[13],IN,,,LVCMOS33,,,,,,,,,,,,,
14,N17,IOB_X0Y24,IO_L13P_T2_MRCC_14,33.368,33.704,,,ADDRESS_IN[12],IN,,,LVCMOS33,,,,,,,,,,,,,
14,M19,IOB_X0Y27,IO_L11N_T1_SRCC_14,59.648,60.248,,,ADDRESS_IN[11],IN,,,LVCMOS33,,,,,,,,,,,,,
14,M18,IOB_X0Y28,IO_L11P_T1_SRCC_14,48.633,49.121,,,ADDRESS_IN[10],IN,,,LVCMOS33,,,,,,,,,,,,,
14,L17,IOB_X0Y26,IO_L12P_T1_MRCC_14,71.438,72.156,,,ADDRESS_IN[9],IN,,,LVCMOS33,,,,,,,,,,,,,
14,K17,IOB_X0Y25,IO_L12N_T1_MRCC_14,77.370,78.147,,,ADDRESS_IN[8],IN,,,LVCMOS33,,,,,,,,,,,,,
16,C16,IOB_X0Y124,IO_L13P_T2_MRCC_16,33.166,33.500,,,ADDRESS_IN[7],IN,,,LVCMOS33,,,,,,,,,,,,,
16,B16,IOB_X0Y123,IO_L13N_T2_MRCC_16,44.012,44.454,,,ADDRESS_IN[6],IN,,,LVCMOS33,,,,,,,,,,,,,
16,C15,IOB_X0Y128,IO_L11P_T1_SRCC_16,45.697,46.157,,,ADDRESS_IN[5],IN,,,LVCMOS33,,,,,,,,,,,,,
